senator_id,first_name,middle_name,last_name,TotalVotes,TotalCongresses,TotalCommittees,MaxVotes,VotesPerCmte,VotesPerCongress
B001133,Aaron,,burr,955,3,205,21,4.66,318.33
M000155,Humphrey,,marshall,952,3,313,19,3.04,317.33
C000009,George,,cabot,945,3,234,19,4.04,315.0
B000249,James,Asheton,bayard,905,4,211,24,4.29,226.25
S000222,Theodore,,sedgwick,835,2,168,22,4.97,417.5
R000550,John,,rutherfurd,830,4,254,16,3.27,207.5
N000086,Wilson,Cary,nicholas,812,3,212,20,3.83,270.67
F000313,Theodore,,foster,809,7,412,14,1.96,115.57
T000423,James,,turner,804,3,355,15,2.26,268.0
S000941,Richard,,stockton,804,2,184,21,4.37,402.0
G000215,Nicholas,,gilman,802,3,345,15,2.32,267.33
M000985,Robert,,morris,775,3,172,21,4.51,258.33
S000955,David,,stone,756,3,238,17,3.18,252.0
T000249,Buckner,,thruston,752,3,269,25,2.8,250.67
L000401,George,,logan,751,3,247,20,3.04,250.33
M000166,Alexander,,martin,746,3,324,14,2.3,248.67
